,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
228,bing,False,InvertColor,vgg,30/70,alexnet,google,20/80,0.45666668,0.9066666666666666,0.006666666666666667
229,bing,False,InvertColor,vgg,30/70,alexnet,google,30/70,0.41,0.7533333333333333,0.06666666666666667
230,bing,False,InvertColor,vgg,30/70,alexnet,google,40/60,0.32333335,0.5666666666666667,0.08
231,bing,False,InvertColor,vgg,30/70,alexnet,google,50/50,0.35,0.35333333333333333,0.3466666666666667
232,bing,False,InvertColor,vgg,30/70,resnet,google,20/80,0.43,0.86,0.0
233,bing,False,InvertColor,vgg,30/70,resnet,google,30/70,0.31,0.6133333333333333,0.006666666666666667
234,bing,False,InvertColor,vgg,30/70,resnet,google,40/60,0.20333333,0.26,0.14666666666666667
235,bing,False,InvertColor,vgg,30/70,resnet,google,50/50,0.22333334,0.3333333333333333,0.11333333333333333
236,bing,False,InvertColor,vgg,30/70,vgg,google,20/80,0.4166667,0.8333333333333334,0.0
237,bing,False,InvertColor,vgg,30/70,vgg,google,30/70,0.32333335,0.6333333333333333,0.013333333333333334
238,bing,False,InvertColor,vgg,30/70,vgg,google,40/60,0.23666668,0.41333333333333333,0.06
239,bing,False,InvertColor,vgg,30/70,vgg,google,50/50,0.22,0.35333333333333333,0.08666666666666667
240,bing,False,InvertColor,vgg,40/60,alexnet,bing,20/80,0.37354085,0.8407079646017699,0.006944444444444444
241,bing,False,InvertColor,vgg,40/60,alexnet,bing,30/70,0.39245284,0.8387096774193549,0.0
242,bing,False,InvertColor,vgg,40/60,alexnet,bing,40/60,0.3649635,0.7007299270072993,0.029197080291970802
243,bing,False,InvertColor,vgg,40/60,alexnet,bing,50/50,0.3540146,0.6714285714285714,0.022388059701492536
244,bing,False,InvertColor,vgg,40/60,resnet,bing,20/80,0.37769786,0.7894736842105263,0.0
245,bing,False,InvertColor,vgg,40/60,resnet,bing,30/70,0.33916083,0.6879432624113475,0.0
246,bing,False,InvertColor,vgg,40/60,resnet,bing,40/60,0.23591548,0.44755244755244755,0.02127659574468085
247,bing,False,InvertColor,vgg,40/60,resnet,bing,50/50,0.19444445,0.3698630136986301,0.014084507042253521
248,bing,False,InvertColor,vgg,40/60,vgg,bing,20/80,0.41877255,0.8721804511278195,0.0
249,bing,False,InvertColor,vgg,40/60,vgg,bing,30/70,0.41877255,0.8592592592592593,0.0
250,bing,False,InvertColor,vgg,40/60,vgg,bing,40/60,0.33568904,0.6573426573426573,0.007142857142857143
251,bing,False,InvertColor,vgg,40/60,vgg,bing,50/50,0.33802816,0.6713286713286714,0.0
252,bing,False,InvertColor,vgg,40/60,alexnet,google,20/80,0.45666668,0.9066666666666666,0.006666666666666667
253,bing,False,InvertColor,vgg,40/60,alexnet,google,30/70,0.41,0.7533333333333333,0.06666666666666667
254,bing,False,InvertColor,vgg,40/60,alexnet,google,40/60,0.32333335,0.5666666666666667,0.08
255,bing,False,InvertColor,vgg,40/60,alexnet,google,50/50,0.35,0.35333333333333333,0.3466666666666667
